list_id,list_title,price,property_type,date,agent_name,agency_name
130087349433,"Tria Residences, Jalan Klang Lama (Old Klang Road), Jalan Klang Lama (Old Klang Road)","MYR RM1,060,000",Apartment,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Jocelyn Chai,Email enquiry to POLYGON PROPERTIES SDN BHD
130087349430,"Jalan Ceria 46, Bandar Putra, Kulai (Gate B), Kulai","MYR RM1,200,000",House,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Caryn Ter,Email enquiry to The Roof Realty  - Johor
130087349423,"Ampang Taman Muda, Ampang","MYR RM1,200,000",Townhouse,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Stacy Young,Email enquiry to PROPNEX REALTY SDN BHD
130087349422,"Quayside Condominium, Tanjung Tokong, Tanjong Tokong","MYR RM2,400,000",Apartment,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Billy Teh,Email enquiry to Sincere Realty
130087349418,"Kensington Residency Bandar Indahpura Kulai(Corner, Kulai","MYR RM1,250,000",Townhouse,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Caryn Ter,Email enquiry to The Roof Realty  - Johor
130087349419,"Casa Idaman, Setia Alam, Setia Alam","MYR RM2,680,000",House,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Guna,Email enquiry to The Roof Realty Sdn. Bhd. - Klang
130087349421,"Indahpura @ Kulai, Indahpura @ Kulai, Kulai","MYR RM9,500,000",Land/Development,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Zeng Xing,Email enquiry to The Roof Realty  - Johor
130087349400,"Adda Height, Johor Bahru","MYR RM1,200,000",House,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Edmund Oh,Email enquiry to Propnex Realty Sdn. Bhd. - JB
130087349407,"Abadi Heights, Pulau Meranti, Puchong, Puchong","MYR RM1,200,000",House,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Grace Hee,Email enquiry to IQI Realty Sdn. Bhd.
130087349410,"Bandar Kinrara Second Floor Office, Puchong, Bandar Kinrara","MYR RM800,000",Retail,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Tham,Email enquiry to Real Estate Finders (My) Sdn. Bhd. (Kepong)
130087349411,"2str Shop For Sale @ Subang Jaya / USJ / Putra Height / Shah Alam , null, Putra Heights","MYR RM1,188,640",Retail,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,David Wan,Email enquiry to ONE MAKER REALTY SDN BHD
130087349414,"Penang, Pulau Tikus","MYR RM4,900,000",House,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Steven Yeon,Email enquiry to IMAZING REALTY SDN BHD
130087349387,"Seri Kembangan Gita Bayu, Seri Kembangan","MYR RM8,500,000",House,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Stacy Young,Email enquiry to PROPNEX REALTY SDN BHD
130087349390,"null, null, Kuching","MYR RM1,100,000",Rural,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Melvin Chong,Email enquiry to Actfast Properties
130087349391,"null, Krubong","MYR RM658,000",House,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Mable Tung,Email enquiry to IPG Realty Sdn Bhd
130087349393,"null, null, Masai","MYR RM1,000,000",Retail,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Jason Tang,Email enquiry to Advertiser
130087349395,"Aira Residence, Damansara Heights, Damansara Heights","MYR RM8,000,000",Apartment,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Ashvina Kaur,Email enquiry to Dutama Properties
130087349396,"KOTA HARMONI, Seksyen 27, Shah Alam","MYR RM2,800,000",House,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Ali Syareeza,Email enquiry to IQI Realty Sdn. Bhd.
130087349397,"UNA, Cheras, Cheras","MYR RM1,199,000",Apartment,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Aaron Yeoh,Email enquiry to IQI Realty Sdn. Bhd.
130087349367,"20 Trees, Contours Melawati, Sunway Rydgeway, Taman Melawati","MYR RM1,500,000",Townhouse,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Jack Ho,Email enquiry to PROPNEX REALTY SDN BHD
130087349364,"null, Tampoi, Tampoi","MYR RM7,500,000",Industrial/Warehouse,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Kinki Loh,Email enquiry to Advertiser
130087349365,"null, Klebang","MYR RM1,350,000",House,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Danny Kuah,Email enquiry to IQI Realty Sdn. Bhd. - Melaka
130087349347,"Office Building KL City, Jalan Tun Razak, Taman U Thant, KL, Kuala Lumpur, null, KL City","MYR RM265,000,000",Retail,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Patsy Koh,Email enquiry to Avenue Home Realty
130087349355,"null, Alam perdana, Puchong","MYR RM3,850,000",Industrial/Warehouse,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Joanne Soh,Email enquiry to CBD Properties Sdn. Bhd.
130087349356,"Bandar Damai Perdana, Bandar Damai Perdana","MYR RM1,300,000",Townhouse,Published on: 24 Sep 2023Last updated on: 24 Sep 2023,Felix Wong,Email enquiry to IQI Realty Sdn. Bhd.
